Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026 (Áp dụng tính mùa vụ),Dự báo T2/2026 (Áp dụng tính mùa vụ),Dự báo T3/2026 (Áp dụng tính mùa vụ)
A - ML Candidate,00.KCB.X.NS,Ensemble,20.01,77.82,166,90,254
A - ML Candidate,00.KCT.X.NS,LSTM,26.54,14.27,18,24,57
A - ML Candidate,00.KIM.01,LSTM,21.77,7.79,9,7,23
C - Sparse,00.L1.8080.P87625N,Naive,0,0,0,0,0
A - ML Candidate,00.NEM.TS,LSTM,28.76,43.36,28,14,49
C - Sparse,03.L1.3060.6841x,Naive,168.25,1162.07,0,0,0
A - ML Candidate,03.L1.6060.80xx,Prophet,133.33,21.98,0,0,0
C - Sparse,05.L1.3060.KAG36900_,Naive,29.47,1181.54,0,0,0
C - Sparse,05.L1.3060.KAG36901_,MA3,15.66,765.11,0,0,0
C - Sparse,05.L1.3060.KAG36902_,MA3,20.89,393.84,0,0,0
C - Sparse,05.L1.3060.KAG36903,Naive,14.74,138.92,0,0,0
C - Sparse,05.L1.3060.KAG36904_,Naive,41.79,853,0,0,0
C - Sparse,05.L1.3060.KAG36905,MA3,51.54,668.73,0,0,0
C - Sparse,05.L1.3060.KAG36906_,MA6,43.68,822.21,0,0,0
C - Sparse,05.L1.3060.KAG36907,MA3,33.04,208.83,0,0,0
C - Sparse,05.L1.3060.USG36000*,Naive,41.5,7717.64,0,0,0
C - Sparse,05.L1.3060.USG36007_,Naive,200,1123.84,0,0,0
C - Sparse,05.L1.3060.USG36008,Naive,200,1274.72,0,0,0
C - Sparse,05.L1.3060.USG36009_,Naive,200,1705,0,0,0
C - Sparse,05.L1.3060.USG36010,Naive,200,1061.79,0,0,0
C - Sparse,05.L1.6060.USG6600X,MA6,16.48,6236.22,64,12052,49454
C - Sparse,05.L1.8080.USG8800X,MA3,22.99,3661.11,0,0,6676
A - ML Candidate,09.L1.1590.CA09GK1590X,Prophet,135.66,4495.05,0,0,0
A - ML Candidate,09.L1.1590.CA10GK1590X,ARIMA,99.61,651.28,448,352,1560
A - ML Candidate,09.L1.3060.CA7GM360(2-3),ARIMA,115.6,110.8,0,0,0
A - ML Candidate,09.L1.6060.CA01GM660(1-2),Prophet,73.78,1391.91,0,0,0
A - ML Candidate,09.L1.6060.CA03GM660(1-2),ARIMA,125.96,130.79,2,4,3
A - ML Candidate,09.L1.6060.CA05GM6601,ARIMA,83.89,139.97,125,106,351
A - ML Candidate,09.L1.6060.CA08GM6602,LSTM,188.39,504.87,138,240,525
A - ML Candidate,10.L1.3060.45XX,ARIMA,31.07,4858.31,3681,1601,5658
A - ML Candidate,10.L1.3060.46XX,ARIMA,150.16,24062.92,10179,13597,60327
A - ML Candidate,10.L1.3060.506X,Ensemble,115.7,376,295,188,203
A - ML Candidate,10.L1.3060.579x,ARIMA,114.45,451.72,0,0,0
A - ML Candidate,10.L1.3060.782x,Prophet,78.27,501.39,0,0,6516
A - ML Candidate,10.L1.3060.783x,Prophet,78.42,279.4,0,0,0
A - ML Candidate,10.L1.4080.99xx,LSTM,121.48,4814.89,2770,1324,2929
A - ML Candidate,10.L1.6060.516x,ARIMA,170.84,754.09,28,32,47
A - ML Candidate,10.L1.6060.5189,ARIMA,156.76,67.42,6,11,19
A - ML Candidate,10.L1.6060.519x,ARIMA,66.75,733.21,468,869,1146
A - ML Candidate,10.L1.6060.561(3-8),Prophet,66.67,140.87,0,0,0
A - ML Candidate,10.L1.6060.615x-6x,LSTM,172.07,19364.12,17358,8933,15029
A - ML Candidate,10.L1.8080.587(4-9),LSTM,108.65,804.72,695,325,650
A - ML Candidate,"10.L1.8080.588(0,7,9)",LSTM,56.18,390.51,234,485,806
A - ML Candidate,10.L1.8080.589(1-9),ARIMA,147.22,2208.31,1584,1072,2476
A - ML Candidate,10.L1.8080.9454/55,Prophet,200,340.69,0,0,47
C - Sparse,10.L2.3060.45(47-69),Naive,0,0,0,0,0
C - Sparse,10.L2.3060.4606,Naive,0,0,0,0,0
A - ML Candidate,12.L1.2040.240(1-5),ARIMA,121.29,460.28,107,113,139
A - ML Candidate,12.L1.2040.U24(21-35),Ensemble,52.63,3413.65,2104,4251,4710
A - ML Candidate,12.L1.2550.250(1-5),Ensemble,63.34,648.71,737,786,894
A - ML Candidate,12.L1.2550.U25(18-40),ARIMA,67.09,1124.27,415,1497,1292
A - ML Candidate,"12.L1.3030.302(0,1,2,3,4,6)",ARIMA,153.75,1242.6,164,286,298
A - ML Candidate,"14.L1.3030.333(16,18,20)",ARIMA,78.68,458.55,97,77,173
A - ML Candidate,"14.L1.3030.334(08,11,18)",ARIMA,63.64,318.39,138,205,646
C - Sparse,"14.L1.3060.3680(0/0V,1V)",Naive,0,0,0,0,0
C - Sparse,"14.L1.3060.368(10,22)",Naive,0,0,0,0,0
A - ML Candidate,14.L1.3060.A36320_,Ensemble,23.73,2171.04,5477,3822,4716
A - ML Candidate,14.L1.3060.A36420,LSTM,33.8,887.25,1234,1461,1685
A - ML Candidate,"14.L1.3060.A36800(D,V)",Ensemble,60.01,967.89,915,760,2440
A - ML Candidate,14.L1.3060.A36810(D),Prophet,71.56,406.33,0,0,0
