Nhóm Sản Phẩm,Phân Khúc,Model Thống Kê,Dự Báo Nền (Base),HS Tháng 1 (Tự động),HS Tháng 2 (Tự động),HS Tháng 3 (Tự động),Dự Báo T1/2026,Dự Báo T2/2026,Dự Báo T3/2026,TỔNG NHẬP Q1/2026
02.L1.6060.7xxx,D - COLD START,Croston,664.0,1.0,1.0,1.0,664.0,664.0,664.0,1992.0
03.L1.3060.7368,D - COLD START,Croston,160.0,1.0,1.0,1.0,160.0,160.0,160.0,480.0
05.L1.3060.USG36001_,D - COLD START,Naive,734.0,1.0,1.0,1.0,734.0,734.0,734.0,2202.0
05.L1.3060.USG36002_,D - COLD START,Naive,390.0,1.0,1.0,1.0,390.0,390.0,390.0,1170.0
05.L1.3060.USG36003_,D - COLD START,Naive,696.0,1.0,1.0,1.0,696.0,696.0,696.0,2088.0
05.L1.3060.USG36004,D - COLD START,Naive,531.0,1.0,1.0,1.0,531.0,531.0,531.0,1593.0
05.L1.3060.USG36005_,D - COLD START,Naive,2570.0,1.0,1.0,1.0,2570.0,2570.0,2570.0,7710.0
05.L1.3060.USG36006,D - COLD START,Naive,598.0,1.0,1.0,1.0,598.0,598.0,598.0,1794.0
05.L1.6060.68600X,B - LIGHTWEIGHT ML,Croston,14126.57,0.32,0.65,1.17,4561.0,9173.0,16550.0,30284.0
05.L1.6060.IP600X,B - LIGHTWEIGHT ML,Naive,1046.0,1.16,0.83,0.78,1213.0,865.0,816.0,2894.0
05.L1.8080.68800X,B - LIGHTWEIGHT ML,SES,4717.72,0.33,0.19,0.41,1574.0,894.0,1934.0,4402.0
05.L1.8080.IP800X,B - LIGHTWEIGHT ML,Naive,252.0,0.31,0.46,0.23,79.0,116.0,58.0,253.0
05.L2.6060.IP600X,D - COLD START,Croston,5280.0,1.0,1.0,1.0,5280.0,5280.0,5280.0,15840.0
05.L2.8080.IP800(5-6),D - COLD START,Croston,957.0,1.0,1.0,1.0,957.0,957.0,957.0,2871.0
09.L1.3060.CA8GM3603-4,B - LIGHTWEIGHT ML,Naive,0.0,0.95,0.47,0.69,0.0,0.0,0.0,0.0
09.L1.3060.CAGM36DX,B - LIGHTWEIGHT ML,Naive,0.0,1.95,0.19,1.68,0.0,0.0,0.0,0.0
10.L1.3060.502X,B - LIGHTWEIGHT ML,Naive,0.0,0.68,0.84,0.69,0.0,0.0,0.0,0.0
10.L1.3060.576x,B - LIGHTWEIGHT ML,Naive,0.0,0.44,0.79,2.08,0.0,0.0,0.0,0.0
10.L1.3060.680xx,B - LIGHTWEIGHT ML,Naive,1049.0,0.65,1.43,1.65,680.0,1503.0,1730.0,3913.0
10.L1.3060.780x,B - LIGHTWEIGHT ML,Naive,0.0,0.45,0.72,1.86,0.0,0.0,0.0,0.0
10.L1.5050.53xx,B - LIGHTWEIGHT ML,Naive,534.0,0.2,0.92,2.75,109.0,490.0,1467.0,2066.0
10.L1.5050.A53xx,B - LIGHTWEIGHT ML,Naive,1212.0,1.08,0.77,0.99,1306.0,929.0,1201.0,3436.0
10.L1.6060.56(80-90),B - LIGHTWEIGHT ML,MA3,381.0,0.43,0.8,1.25,165.0,306.0,474.0,945.0
10.L1.6060.57xx,B - LIGHTWEIGHT ML,Naive,963.0,0.84,0.55,1.53,811.0,528.0,1478.0,2817.0
10.L1.6060.610(3-6),B - LIGHTWEIGHT ML,Naive,0.0,0.92,0.61,1.1,0.0,0.0,0.0,0.0
10.L1.6060.7400x,B - LIGHTWEIGHT ML,Naive,404.0,0.29,0.26,1.03,118.0,103.0,416.0,637.0
"10.L1.6060.7560(4,5,6)",B - LIGHTWEIGHT ML,Naive,42.0,1.37,0.86,1.12,57.0,36.0,47.0,140.0
