Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026,Dự báo T2/2026,Dự báo T3/2026
A - ML Candidate,00.KCB.X.NS,ARIMA,23.7,92.78,393.0,396.0,398.0
A - ML Candidate,00.KCT.X.NS,LSTM,48.81,31.52,34.0,34.0,34.0
A - ML Candidate,00.KIM.01,Ensemble,19.74,8.6,36.0,36.0,36.0
C - Sparse,00.L1.8080.P87625N,Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,00.NEM.TS,Ensemble,46.38,45.96,91.0,91.0,91.0
C - Sparse,03.L1.3060.6841x,Naive,168.25,1162.07,0.0,0.0,0.0
A - ML Candidate,03.L1.6060.80xx,Prophet,133.33,21.98,0.0,0.0,0.0
C - Sparse,05.L1.3060.KAG36900_,Naive,29.47,1181.54,1800.0,1800.0,1800.0
C - Sparse,05.L1.3060.KAG36901_,MA3,15.66,765.11,3190.0,3190.0,3190.0
C - Sparse,05.L1.3060.KAG36902_,MA3,20.89,393.84,1395.0,1395.0,1395.0
C - Sparse,05.L1.3060.KAG36903,Naive,14.74,138.92,893.0,893.0,893.0
C - Sparse,05.L1.3060.KAG36904_,Naive,41.79,853.0,1888.0,1888.0,1888.0
C - Sparse,05.L1.3060.KAG36905,MA3,51.54,668.73,1079.0,1079.0,1079.0
C - Sparse,05.L1.3060.KAG36906_,MA6,43.68,822.21,2010.0,2010.0,2010.0
C - Sparse,05.L1.3060.KAG36907,MA3,33.04,208.83,659.0,659.0,659.0
C - Sparse,05.L1.3060.USG36000*,Naive,41.5,7717.64,15416.0,15416.0,15416.0
C - Sparse,05.L1.3060.USG36007_,Naive,200.0,1123.84,1136.0,1136.0,1136.0
C - Sparse,05.L1.3060.USG36008,Naive,200.0,1274.72,894.0,894.0,894.0
C - Sparse,05.L1.3060.USG36009_,Naive,200.0,1705.0,2616.0,2616.0,2616.0
C - Sparse,05.L1.3060.USG36010,Naive,200.0,1061.79,1741.0,1741.0,1741.0
C - Sparse,05.L1.6060.USG6600X,MA6,16.48,6236.22,44852.0,44852.0,44852.0
C - Sparse,05.L1.8080.USG8800X,MA3,22.99,3661.11,13867.0,13867.0,13867.0
A - ML Candidate,09.L1.1590.CA09GK1590X,XGBoost,117.89,236.16,49.0,49.0,49.0
A - ML Candidate,09.L1.1590.CA10GK1590X,ARIMA,99.61,651.28,567.0,567.0,567.0
A - ML Candidate,09.L1.3060.CA7GM360(2-3),Ensemble,115.31,153.23,49.0,49.0,49.0
A - ML Candidate,09.L1.6060.CA01GM660(1-2),Prophet,73.78,1391.91,0.0,0.0,0.0
A - ML Candidate,09.L1.6060.CA03GM660(1-2),Ensemble,95.99,221.15,144.0,144.0,144.0
A - ML Candidate,09.L1.6060.CA05GM6601,XGBoost,62.26,94.61,255.0,253.0,274.0
A - ML Candidate,09.L1.6060.CA08GM6602,XGBoost,184.63,315.73,12.0,115.0,12.0
A - ML Candidate,10.L1.3060.45XX,ARIMA,31.07,4858.31,7424.0,7424.0,7424.0
A - ML Candidate,10.L1.3060.46XX,ARIMA,150.16,24062.92,29586.0,32781.0,35176.0
A - ML Candidate,10.L1.3060.506X,SARIMA,84.01,298.67,0.0,0.0,0.0
A - ML Candidate,10.L1.3060.579x,XGBoost,88.12,252.87,2725.0,2761.0,2160.0
A - ML Candidate,10.L1.3060.782x,SARIMA,72.73,1023.88,0.0,768.0,892.0
A - ML Candidate,10.L1.3060.783x,Prophet,78.42,279.4,0.0,0.0,0.0
A - ML Candidate,10.L1.4080.99xx,LSTM,120.08,4669.57,4230.0,4256.0,4273.0
A - ML Candidate,10.L1.6060.516x,ARIMA,170.84,754.09,36.0,36.0,36.0
A - ML Candidate,10.L1.6060.5189,ARIMA,156.76,67.42,12.0,12.0,12.0
A - ML Candidate,10.L1.6060.519x,ARIMA,66.75,733.21,755.0,755.0,755.0
A - ML Candidate,10.L1.6060.561(3-8),Prophet,66.67,140.87,0.0,0.0,0.0
A - ML Candidate,10.L1.6060.615x-6x,LSTM,175.97,23186.71,29834.0,30908.0,31780.0
A - ML Candidate,10.L1.8080.587(4-9),LSTM,94.54,598.99,813.0,817.0,820.0
A - ML Candidate,"10.L1.8080.588(0,7,9)",XGBoost,88.62,990.26,2110.0,3152.0,2403.0
A - ML Candidate,10.L1.8080.589(1-9),XGBoost,141.31,2264.79,3079.0,925.0,1150.0
A - ML Candidate,10.L1.8080.9454/55,Prophet,200.0,340.69,0.0,0.0,34.0
C - Sparse,10.L2.3060.45(47-69),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,10.L2.3060.4606,Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,12.L1.2040.240(1-5),ARIMA,121.29,460.28,113.0,113.0,113.0
A - ML Candidate,12.L1.2040.U24(21-35),Ensemble,55.23,3609.56,4719.0,4719.0,4719.0
A - ML Candidate,12.L1.2550.250(1-5),XGBoost,59.2,591.15,2397.0,1696.0,1935.0
A - ML Candidate,12.L1.2550.U25(18-40),XGBoost,37.47,536.18,1042.0,1029.0,1064.0
A - ML Candidate,"12.L1.3030.302(0,1,2,3,4,6)",CatBoost,151.36,1776.4,1055.0,1146.0,1861.0
A - ML Candidate,"14.L1.3030.333(16,18,20)",Ensemble,78.65,501.09,417.0,417.0,417.0
A - ML Candidate,"14.L1.3030.334(08,11,18)",Ensemble,62.23,289.22,430.0,430.0,430.0
C - Sparse,"14.L1.3060.3680(0/0V,1V)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"14.L1.3060.368(10,22)",Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.A36320_,SARIMA,25.2,2006.87,11051.0,12363.0,12683.0
A - ML Candidate,14.L1.3060.A36420,ARIMA,40.04,870.26,2517.0,2517.0,2517.0
A - ML Candidate,"14.L1.3060.A36800(D,V)",XGBoost,69.89,1183.81,1763.0,800.0,1708.0
A - ML Candidate,14.L1.3060.A36810(D),Prophet,71.56,406.33,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.A36822(D),XGBoost,3.72,339.76,4209.0,5818.0,7913.0
A - ML Candidate,"14.L1.3060.A369(10,22)",XGBoost,36.88,1681.06,3491.0,5288.0,3159.0
C - Sparse,14.L1.3060.A36AG403,Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.US36AG901(D),XGBoost,85.95,245.45,1134.0,719.0,331.0
A - ML Candidate,14.L1.3060.US36AW801,ARIMA,51.26,234.05,999.0,889.0,1033.0
A - ML Candidate,"14.L1.3060.US36CB(806,902/902D)",ARIMA,85.24,408.01,501.0,501.0,501.0
A - ML Candidate,"14.L1.3060.US36CG80(2,4)",CatBoost,70.46,391.32,2558.0,5853.0,2367.0
A - ML Candidate,14.L1.3060.US36CN906_,LSTM,127.53,233.24,228.0,228.0,228.0
A - ML Candidate,14.L1.3060.US36CW807,Ensemble,10.77,55.85,390.0,390.0,390.0
A - ML Candidate,14.L1.3060.US36LB907_,LSTM,24.27,72.98,283.0,283.0,283.0
A - ML Candidate,14.L1.3060.US36LG904(D),XGBoost,82.32,220.97,264.0,262.0,143.0
