Mã Sản Phẩm,Phân khúc,Trọng số tháng 1,Trọng số tháng 2,Trọng số tháng 3
00.KCB.X.NS,A - ML Candidate,0.5191,0.2825,0.7952
00.KCT.X.NS,A - ML Candidate,0.3924,0.5204,1.2411
00.KIM.01,A - ML Candidate,0.2986,0.2364,0.7279
00.L1.8080.P87625N,C - Sparse,0.0,0.0,0.0
00.NEM.TS,A - ML Candidate,0.4754,0.2435,0.8372
03.L1.3060.6841x,C - Sparse,0.0,0.0,5.1257
03.L1.6060.80xx,A - ML Candidate,1.2097,0.8752,1.5251
05.L1.3060.KAG36900_,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36901_,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36902_,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36903,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36904_,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36905,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36906_,C - Sparse,0.0,0.0,0.0
05.L1.3060.KAG36907,C - Sparse,0.0,0.0,0.0
05.L1.3060.USG36000*,C - Sparse,0.0,0.0,0.0
05.L1.3060.USG36007_,C - Sparse,0.0,0.0,0.0
05.L1.3060.USG36008,C - Sparse,0.0,0.0,0.0
05.L1.3060.USG36009_,C - Sparse,0.0,0.0,0.0
05.L1.3060.USG36010,C - Sparse,0.0,0.0,0.0
05.L1.6060.USG6600X,C - Sparse,0.0014,0.2687,1.1026
05.L1.8080.USG8800X,C - Sparse,0.0,0.0,0.4814
09.L1.1590.CA09GK1590X,A - ML Candidate,0.7337,0.637,0.888
09.L1.1590.CA10GK1590X,A - ML Candidate,0.7905,0.6209,2.7508
09.L1.3060.CA7GM360(2-3),A - ML Candidate,0.563,0.3255,1.2777
09.L1.6060.CA01GM660(1-2),A - ML Candidate,0.2348,0.4181,0.6433
09.L1.6060.CA03GM660(1-2),A - ML Candidate,0.7246,1.224,0.8854
09.L1.6060.CA05GM6601,A - ML Candidate,0.7805,0.6648,2.2013
09.L1.6060.CA08GM6602,A - ML Candidate,0.261,0.4497,0.9763
10.L1.3060.45XX,A - ML Candidate,0.4958,0.2157,0.7621
10.L1.3060.46XX,A - ML Candidate,0.344,0.4148,1.715
10.L1.3060.506X,A - ML Candidate,1.4847,0.9451,1.0223
10.L1.3060.579x,A - ML Candidate,0.7194,0.4852,1.5975
10.L1.3060.782x,A - ML Candidate,0.403,1.0093,1.9633
10.L1.3060.783x,A - ML Candidate,0.3271,1.064,1.5057
10.L1.4080.99xx,A - ML Candidate,0.6332,0.2999,0.6591
10.L1.6060.516x,A - ML Candidate,0.7835,0.8759,1.3078
10.L1.6060.5189,A - ML Candidate,0.5125,0.9186,1.6126
10.L1.6060.519x,A - ML Candidate,0.6193,1.1505,1.5182
10.L1.6060.561(3-8),A - ML Candidate,0.9031,1.2237,0.8885
10.L1.6060.615x-6x,A - ML Candidate,0.8125,0.4148,0.6938
10.L1.8080.587(4-9),A - ML Candidate,0.7589,0.3512,0.6988
